Country;Localite;Category;Value;Date;Sources;Link
Sierra Leone;Moyamba;Deaths;0;01/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-664928_3.pdf
Sierra Leone;National;Deaths;6;01/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-664928_3.pdf
Sierra Leone;National;Deaths;6;05/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-665698_2.pdf
Sierra Leone;National;Deaths;7;06/06/2014;Gvt;https://wca.humanitarianresponse.info/fr/system/files/documents/files/Sierra%20Leone%20Ebola%20sitrep%206th%20June.pdf.pdf
Sierra Leone;Kailahun;Deaths;46;17/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-668291_2.pdf
Sierra Leone;Kambia;Deaths;0;17/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-668291_2.pdf
Sierra Leone;Kono;Deaths;0;17/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-668291_2.pdf
Sierra Leone;National;Deaths;49;17/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-668291_2.pdf
Sierra Leone;Port Loko;Deaths;1;17/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-668291_2.pdf
Sierra Leone;Western Rural;Deaths;1;17/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-668291_2.pdf
Sierra Leone;Kailahun;Deaths;55;19/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-669658_2.pdf
Sierra Leone;Kambia;Deaths;0;19/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-669658_2.pdf
Sierra Leone;Kenema;Deaths;1;19/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-669658_2.pdf
Sierra Leone;National;Deaths;58;19/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-669658_2.pdf
Sierra Leone;Port Loko;Deaths;1;19/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-669658_2.pdf
Sierra Leone;Western Rural;Deaths;1;19/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-669658_2.pdf
Sierra Leone;Kailahun;Deaths;32;20/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-669981_2.pdf
Sierra Leone;Kambia;Deaths;1;20/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-669981_2.pdf
Sierra Leone;Kenema;Deaths;2;20/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-669981_2.pdf
Sierra Leone;National;Deaths;35;20/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-669981_2.pdf
Sierra Leone;Port Loko;Deaths;0;20/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-669981_2.pdf
Sierra Leone;Western Rural;Deaths;0;20/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-669981_2.pdf
Sierra Leone;National;Deaths;99;30/06/2014;WHO;http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-update-1-july-2014
Sierra Leone;National;Deaths;101;02/07/2014;WHO;http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-update-3-july-2014
Sierra Leone;National;Deaths;127;06/07/2014;WHO;http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-update-7-july-2014
Sierra Leone;National;Deaths;142;08/07/2014;WHO;http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-update-10-july-2014
Sierra Leone;National;Deaths;194;12/07/2014;WHO;http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-update-14-july-2014
Sierra Leone;National;Deaths;197;14/07/2014;WHO;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola%20virus%20disease.pdf
Sierra Leone;National;Deaths;206;17/07/2014;WHO;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola%20virus%20disease_0.pdf
Sierra Leone;National;Deaths;219;20/07/2014;WHO;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola%20virus%20disease%20West%20Africa%20update%2023July2014.pdf
Sierra Leone;National;Deaths;224;23/07/2014;WHO;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola%20virus%20disease%20West%20Africa%20update%2025July2014.pdf
Sierra Leone;National;Deaths;233;27/07/2014;WHO;http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-update-29-july-2014
Sierra Leone;National;Deaths;273;01/08/2014;WHO;http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-update-4-august-2014
Sierra Leone;National;Deaths;286;04/08/2014;WHO;http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-update-6-august-2014
Sierra Leone;National;Deaths;298;06/08/2014;WHO;http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-update-8-august-2014
Sierra Leone;National;Deaths;315;09/08/2014;WHO;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola%20virus%20disease_1.pdf
Sierra Leone;Bo;Deaths;2;15/08/2014;Gvt;
Sierra Leone;Bombali;Deaths;1;15/08/2014;Gvt;
Sierra Leone;Bonthe;Deaths;0;15/08/2014;Gvt;
Sierra Leone;Kailahun;Deaths;230;15/08/2014;Gvt;
Sierra Leone;Kambia;Deaths;0;15/08/2014;Gvt;
Sierra Leone;Kenema;Deaths;112;15/08/2014;Gvt;
Sierra Leone;Koinadugu;Deaths;0;15/08/2014;Gvt;
Sierra Leone;Kono;Deaths;0;15/08/2014;Gvt;
Sierra Leone;Moyamba;Deaths;3;15/08/2014;Gvt;
Sierra Leone;National;Deaths;355;15/08/2014;Gvt;
Sierra Leone;Port Loko;Deaths;3;15/08/2014;Gvt;
Sierra Leone;Pujehun;Deaths;0;15/08/2014;Gvt;
Sierra Leone;Tonkolili;Deaths;0;15/08/2014;Gvt;
Sierra Leone;Western Rural;Deaths;0;15/08/2014;Gvt;
Sierra Leone;Western Urban (Freetown);Deaths;4;15/08/2014;Gvt;
Sierra Leone;Bo;Deaths;2;17/08/2014;Gvt;https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola-Situation-Report_Vol-82_0.pdf
Sierra Leone;Bombali;Deaths;1;17/08/2014;Gvt;https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola-Situation-Report_Vol-82_0.pdf
Sierra Leone;Bonthe;Deaths;0;17/08/2014;Gvt;https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola-Situation-Report_Vol-82_0.pdf
Sierra Leone;Kailahun;Deaths;206;17/08/2014;Gvt;https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola-Situation-Report_Vol-82_0.pdf
Sierra Leone;Kambia;Deaths;0;17/08/2014;Gvt;https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola-Situation-Report_Vol-82_0.pdf
Sierra Leone;Kenema;Deaths;125;17/08/2014;Gvt;https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola-Situation-Report_Vol-82_0.pdf
Sierra Leone;Koinadugu;Deaths;0;17/08/2014;Gvt;https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola-Situation-Report_Vol-82_0.pdf
Sierra Leone;Kono;Deaths;0;17/08/2014;Gvt;https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola-Situation-Report_Vol-82_0.pdf
Sierra Leone;Moyamba;Deaths;3;17/08/2014;Gvt;https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola-Situation-Report_Vol-82_0.pdf
Sierra Leone;National;Deaths;344;17/08/2014;Gvt;https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola-Situation-Report_Vol-82_0.pdf
Sierra Leone;Port Loko;Deaths;3;17/08/2014;Gvt;https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola-Situation-Report_Vol-82_0.pdf
Sierra Leone;Pujehun;Deaths;0;17/08/2014;Gvt;https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola-Situation-Report_Vol-82_0.pdf
Sierra Leone;Tonkolili;Deaths;0;17/08/2014;Gvt;https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola-Situation-Report_Vol-82_0.pdf
Sierra Leone;Western Rural;Deaths;0;17/08/2014;Gvt;https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola-Situation-Report_Vol-82_0.pdf
Sierra Leone;Western Urban (Freetown);Deaths;4;17/08/2014;Gvt;https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola-Situation-Report_Vol-82_0.pdf
Sierra Leone;Bo;Deaths;2;19/08/2014;Gvt;Sitrep 20Aout
Sierra Leone;Bombali;Deaths;1;19/08/2014;Gvt;Sitrep 20Aout
Sierra Leone;Bonthe;Deaths;0;19/08/2014;Gvt;Sitrep 20Aout
Sierra Leone;Kailahun;Deaths;245;19/08/2014;Gvt;Sitrep 20Aout
Sierra Leone;Kambia;Deaths;0;19/08/2014;Gvt;Sitrep 20Aout
Sierra Leone;Kenema;Deaths;134;19/08/2014;Gvt;Sitrep 20Aout
Sierra Leone;Koinadugu;Deaths;0;19/08/2014;Gvt;Sitrep 20Aout
Sierra Leone;Kono;Deaths;0;19/08/2014;Gvt;Sitrep 20Aout
Sierra Leone;Moyamba;Deaths;3;19/08/2014;Gvt;Sitrep 20Aout
Sierra Leone;National;Deaths;392;19/08/2014;Gvt;Sitrep 20Aout
Sierra Leone;Port Loko;Deaths;3;19/08/2014;Gvt;Sitrep 20Aout
Sierra Leone;Pujehun;Deaths;0;19/08/2014;Gvt;Sitrep 20Aout
Sierra Leone;Tonkolili;Deaths;0;19/08/2014;Gvt;Sitrep 20Aout
Sierra Leone;Western Rural;Deaths;0;19/08/2014;Gvt;Sitrep 20Aout
Sierra Leone;Western Urban (Freetown);Deaths;4;19/08/2014;Gvt;Sitrep 20Aout
Sierra Leone;Bo;Deaths;2;20/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-85.pdf
Sierra Leone;Bombali;Deaths;1;20/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-85.pdf
Sierra Leone;Bonthe;Deaths;0;20/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-85.pdf
Sierra Leone;Kailahun;Deaths;210;20/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-85.pdf
Sierra Leone;Kambia;Deaths;0;20/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-85.pdf
Sierra Leone;Kenema;Deaths;136;20/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-85.pdf
Sierra Leone;Koinadugu;Deaths;0;20/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-85.pdf
Sierra Leone;Kono;Deaths;0;20/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-85.pdf
Sierra Leone;Moyamba;Deaths;4;20/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-85.pdf
Sierra Leone;National;Deaths;361;20/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-85.pdf
Sierra Leone;Port Loko;Deaths;3;20/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-85.pdf
Sierra Leone;Pujehun;Deaths;0;20/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-85.pdf
Sierra Leone;Tonkolili;Deaths;1;20/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-85.pdf
Sierra Leone;Western Rural;Deaths;0;20/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-85.pdf
Sierra Leone;Western Urban (Freetown);Deaths;4;20/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-85.pdf
Sierra Leone;Bo;Deaths;2;23/08/2014;GVT;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-88.pdf
Sierra Leone;Bombali;Deaths;1;23/08/2014;GVT;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-88.pdf
Sierra Leone;Bonthe;Deaths;0;23/08/2014;GVT;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-88.pdf
Sierra Leone;Kailahun;Deaths;219;23/08/2014;GVT;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-88.pdf
Sierra Leone;Kambia;Deaths;0;23/08/2014;GVT;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-88.pdf
Sierra Leone;Kenema;Deaths;146;23/08/2014;GVT;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-88.pdf
Sierra Leone;Koinadugu;Deaths;0;23/08/2014;GVT;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-88.pdf
Sierra Leone;Kono;Deaths;1;23/08/2014;GVT;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-88.pdf
Sierra Leone;Moyamba;Deaths;4;23/08/2014;GVT;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-88.pdf
Sierra Leone;National;Deaths;381;23/08/2014;GVT;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-88.pdf
Sierra Leone;Port Loko;Deaths;3;23/08/2014;GVT;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-88.pdf
Sierra Leone;Pujehun;Deaths;0;23/08/2014;GVT;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-88.pdf
Sierra Leone;Tonkolili;Deaths;1;23/08/2014;GVT;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-88.pdf
Sierra Leone;Western Rural;Deaths;0;23/08/2014;GVT;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-88.pdf
Sierra Leone;Western Urban (Freetown);Deaths;4;23/08/2014;GVT;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-88.pdf
Sierra Leone;Bo;Deaths;2;24/08/2014;Gvt;Sitrep 25Aug2014
Sierra Leone;Bombali;Deaths;1;24/08/2014;Gvt;Sitrep 25Aug2014
Sierra Leone;Bonthe;Deaths;0;24/08/2014;Gvt;Sitrep 25Aug2014
Sierra Leone;Kailahun;Deaths;259;24/08/2014;Gvt;Sitrep 25Aug2014
Sierra Leone;Kambia;Deaths;0;24/08/2014;Gvt;Sitrep 25Aug2014
Sierra Leone;Kenema;Deaths;151;24/08/2014;Gvt;Sitrep 25Aug2014
Sierra Leone;Koinadugu;Deaths;0;24/08/2014;Gvt;Sitrep 25Aug2014
Sierra Leone;Kono;Deaths;1;24/08/2014;Gvt;Sitrep 25Aug2014
Sierra Leone;Moyamba;Deaths;3;24/08/2014;Gvt;Sitrep 25Aug2014
Sierra Leone;National;Deaths;424;24/08/2014;Gvt;Sitrep 25Aug2014
Sierra Leone;Port Loko;Deaths;3;24/08/2014;Gvt;Sitrep 25Aug2014
Sierra Leone;Pujehun;Deaths;0;24/08/2014;Gvt;Sitrep 25Aug2014
Sierra Leone;Tonkolili;Deaths;0;24/08/2014;Gvt;Sitrep 25Aug2014
Sierra Leone;Western Rural;Deaths;0;24/08/2014;Gvt;Sitrep 25Aug2014
Sierra Leone;Western Urban (Freetown);Deaths;4;24/08/2014;Gvt;Sitrep 25Aug2014
Sierra Leone;Bo;Deaths;10;25/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-90.pdf
Sierra Leone;Bombali;Deaths;2;25/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-90.pdf
Sierra Leone;Bonthe;Deaths;0;25/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-90.pdf
Sierra Leone;Kailahun;Deaths;219;25/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-90.pdf
Sierra Leone;Kambia;Deaths;0;25/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-90.pdf
Sierra Leone;Kenema;Deaths;155;25/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-90.pdf
Sierra Leone;Koinadugu;Deaths;0;25/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-90.pdf
Sierra Leone;Kono;Deaths;1;25/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-90.pdf
Sierra Leone;Moyamba;Deaths;4;25/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-90.pdf
Sierra Leone;National;Deaths;400;25/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-90.pdf
Sierra Leone;Port Loko;Deaths;4;25/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-90.pdf
Sierra Leone;Pujehun;Deaths;0;25/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-90.pdf
Sierra Leone;Tonkolili;Deaths;1;25/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-90.pdf
Sierra Leone;Western Rural;Deaths;0;25/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-90.pdf
Sierra Leone;Western Urban (Freetown);Deaths;4;25/08/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-90.pdf
Sierra Leone;Bo;Deaths;10;26/08/2014;Gvt;Sitrep 27Aug
Sierra Leone;Bombali;Deaths;2;26/08/2014;Gvt;Sitrep 27Aug
Sierra Leone;Bonthe;Deaths;0;26/08/2014;Gvt;Sitrep 27Aug
Sierra Leone;Kailahun;Deaths;259;26/08/2014;Gvt;Sitrep 27Aug
Sierra Leone;Kambia;Deaths;0;26/08/2014;Gvt;Sitrep 27Aug
Sierra Leone;Kenema;Deaths;162;26/08/2014;Gvt;Sitrep 27Aug
Sierra Leone;Koinadugu;Deaths;0;26/08/2014;Gvt;Sitrep 27Aug
Sierra Leone;Kono;Deaths;1;26/08/2014;Gvt;Sitrep 27Aug
Sierra Leone;Moyamba;Deaths;4;26/08/2014;Gvt;Sitrep 27Aug
Sierra Leone;National;Deaths;447;26/08/2014;Gvt;Sitrep 27Aug
Sierra Leone;Port Loko;Deaths;4;26/08/2014;Gvt;Sitrep 27Aug
Sierra Leone;Pujehun;Deaths;0;26/08/2014;Gvt;Sitrep 27Aug
Sierra Leone;Tonkolili;Deaths;1;26/08/2014;Gvt;Sitrep 27Aug
Sierra Leone;Western Rural;Deaths;0;26/08/2014;Gvt;Sitrep 27Aug
Sierra Leone;Western Urban (Freetown);Deaths;4;26/08/2014;Gvt;Sitrep 27Aug
Sierra Leone;Bo;Deaths;10;28/08/2014;Gvt;Sitrep 29Aug
Sierra Leone;Bombali;Deaths;2;28/08/2014;Gvt;Sitrep 29Aug
Sierra Leone;Bonthe;Deaths;0;28/08/2014;Gvt;Sitrep 29Aug
Sierra Leone;Kailahun;Deaths;263;28/08/2014;Gvt;Sitrep 29Aug
Sierra Leone;Kambia;Deaths;0;28/08/2014;Gvt;Sitrep 29Aug
Sierra Leone;Kenema;Deaths;166;28/08/2014;Gvt;Sitrep 29Aug
Sierra Leone;Koinadugu;Deaths;0;28/08/2014;Gvt;Sitrep 29Aug
Sierra Leone;Kono;Deaths;1;28/08/2014;Gvt;Sitrep 29Aug
Sierra Leone;Moyamba;Deaths;4;28/08/2014;Gvt;Sitrep 29Aug
Sierra Leone;National;Deaths;455;28/08/2014;Gvt;Sitrep 29Aug
Sierra Leone;Port Loko;Deaths;4;28/08/2014;Gvt;Sitrep 29Aug
Sierra Leone;Pujehun;Deaths;0;28/08/2014;Gvt;Sitrep 29Aug
Sierra Leone;Tonkolili;Deaths;1;28/08/2014;Gvt;Sitrep 29Aug
Sierra Leone;Western Rural;Deaths;0;28/08/2014;Gvt;Sitrep 29Aug
Sierra Leone;Western Urban (Freetown);Deaths;4;28/08/2014;Gvt;Sitrep 29Aug
Sierra Leone;Bo;Deaths;15;31/08/2014;WHO;Sitrep 1sep
Sierra Leone;Bombali;Deaths;6;31/08/2014;WHO;Sitrep 1sep
Sierra Leone;Bonthe;Deaths;1;31/08/2014;WHO;Sitrep 1sep
Sierra Leone;Kailahun;Deaths;263;31/08/2014;WHO;Sitrep 1sep
Sierra Leone;Kambia;Deaths;0;31/08/2014;WHO;Sitrep 1sep
Sierra Leone;Kenema;Deaths;177;31/08/2014;WHO;Sitrep 1sep
Sierra Leone;Koinadugu;Deaths;0;31/08/2014;WHO;Sitrep 1sep
Sierra Leone;Kono;Deaths;1;31/08/2014;WHO;Sitrep 1sep
Sierra Leone;Moyamba;Deaths;4;31/08/2014;WHO;Sitrep 1sep
Sierra Leone;National;Deaths;480;31/08/2014;WHO;Sitrep 1sep
Sierra Leone;Port Loko;Deaths;4;31/08/2014;WHO;Sitrep 1sep
Sierra Leone;Pujehun;Deaths;1;31/08/2014;WHO;Sitrep 1sep
Sierra Leone;Tonkolili;Deaths;2;31/08/2014;WHO;Sitrep 1sep
Sierra Leone;Western Rural;Deaths;2;31/08/2014;WHO;Sitrep 1sep
Sierra Leone;Western Urban (Freetown);Deaths;4;31/08/2014;WHO;Sitrep 1sep
Sierra Leone;Bo;Deaths;16;02/09/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-98.pdf
Sierra Leone;Bombali;Deaths;6;02/09/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-98.pdf
Sierra Leone;Bonthe;Deaths;1;02/09/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-98.pdf
Sierra Leone;Kailahun;Deaths;219;02/09/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-98.pdf
Sierra Leone;Kambia;Deaths;0;02/09/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-98.pdf
Sierra Leone;Kenema;Deaths;185;02/09/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-98.pdf
Sierra Leone;Koinadugu;Deaths;0;02/09/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-98.pdf
Sierra Leone;Kono;Deaths;3;02/09/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-98.pdf
Sierra Leone;Moyamba;Deaths;4;02/09/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-98.pdf
Sierra Leone;National;Deaths;447;02/09/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-98.pdf
Sierra Leone;Port Loko;Deaths;4;02/09/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-98.pdf
Sierra Leone;Pujehun;Deaths;1;02/09/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-98.pdf
Sierra Leone;Tonkolili;Deaths;2;02/09/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-98.pdf
Sierra Leone;Western Rural;Deaths;2;02/09/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-98.pdf
Sierra Leone;Western Urban (Freetown);Deaths;4;02/09/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-98.pdf
Sierra Leone;Bo;Deaths;16;03/09/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-99.pdf
Sierra Leone;Bombali;Deaths;6;03/09/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-99.pdf
Sierra Leone;Bonthe;Deaths;1;03/09/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-99.pdf
Sierra Leone;Kailahun;Deaths;220;03/09/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-99.pdf
Sierra Leone;Kambia;Deaths;0;03/09/2014;Gvt;http://reliefweb.int/sites/reliefweb.int/files/resources/Ebola-Situation-Report_Vol-99.pdf
